City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,lihue,21.9789,-159.3672,26.77,78,75,7.72,US,2023-07-27 08:39:37
234,sola,-13.8833,167.55,24.51,79,100,13.65,VU,2023-07-27 08:39:37
235,eyl,7.9803,49.8164,32.26,44,10,12.8,SO,2023-07-27 08:39:37
236,waingapu,-9.6567,120.2641,27.29,55,16,5.48,ID,2023-07-27 08:39:37
237,khandyga,62.6667,135.6,21.64,36,0,3.89,RU,2023-07-27 08:39:37
238,bom jesus,-9.0744,-44.3586,17.56,70,25,0.71,BR,2023-07-27 08:39:37
239,port lincoln,-34.7333,135.8667,16.5,67,70,7.31,AU,2023-07-27 08:39:37
240,minas de marcona,-15.2119,-75.1103,11.37,91,48,5.08,PE,2023-07-27 08:39:37
241,santiago de cao,-7.9589,-79.2392,20.07,88,20,2.57,PE,2023-07-27 08:39:38
242,bethanie,-26.4833,17.15,19.0,14,0,4.09,NA,2023-07-27 08:39:38
243,luderitz,-26.6481,15.1594,16.53,47,0,3.6,NA,2023-07-27 08:39:38
244,castillos,-34.1667,-53.8333,8.42,76,74,4.52,UY,2023-07-27 08:39:38
245,pingliang,35.5392,106.6861,17.66,86,100,2.61,CN,2023-07-27 08:39:38
246,menongue,-14.6585,17.691,26.08,22,5,3.07,AO,2023-07-27 08:39:38
247,inhambane,-23.865,35.3833,24.99,53,20,3.09,MZ,2023-07-27 08:39:38
248,port alfred,-33.5906,26.891,17.32,81,26,2.68,ZA,2023-07-27 08:39:38
249,kerikeri,-35.2268,173.9474,10.51,82,21,2.24,NZ,2023-07-27 08:39:39
250,kamaishi,39.2667,141.8833,26.83,81,9,1.0,JP,2023-07-27 08:39:39
251,christchurch,-43.5333,172.6333,9.39,62,75,8.23,NZ,2023-07-27 08:35:15
252,balakhta,55.38,91.6,24.65,51,8,1.22,RU,2023-07-27 08:39:39
253,vallenar,-28.5708,-70.7581,13.73,81,100,0.94,CL,2023-07-27 08:39:39
254,chandbali,20.7833,86.7667,31.95,64,76,8.86,IN,2023-07-27 08:39:39
255,san fernando,15.0286,120.6898,26.85,89,100,6.41,PH,2023-07-27 08:39:39
256,severnoye,56.3491,78.3619,24.26,54,78,3.55,RU,2023-07-27 08:39:40
257,ust-nera,64.5667,143.2,13.59,54,98,2.24,RU,2023-07-27 08:39:40
258,humberto de campos,-2.5983,-43.4611,23.78,93,18,2.99,BR,2023-07-27 08:39:40
